DC;FC;Betreff;Fehlerbeschreibung von FUSEON od. Drago (blau);Anmerkung Vincent (schwarz) + Antwort FUSEON (rot);Annmerkung Drago (blau) ;Antwort Vincent auf Drago ;Update Vincent (Mail vom 13.10.);Antwort FUSEON 13./14.10.;Antwort Vincent (ab 14.10.);FUSEON 17.10;Vincent ab 20.10
;;Verwaltungsseite für Adminstrator neu gestalten; 12.11.25 Video 1,  mit Fotos, Die Verwaltungsseite als Administrator neu gestalten mit den entsprechenden neuen Links, damit alle Daten von der Firma ersichtlich ist, das was auch die Firma auf seiner Seite als Daten zur Ansicht hat;;;;;;;;
;;Verwaltungsseiten für Firmen anpassen;12.11.25 Video 2 mit Fotos. Die Verwaltungsseiten von den Firmen entsprechend anpassen. Diese werden dann in den Verwaltungsseiten beim Administrator übernommen, wie oberen Aufgabenfeld beschrieben.;;;;;;;;
;;;;;;;;;;;
;;Video 10.11 16:51 (1:21);Plattform und ergänzt udn Filter eingebaut;; Könnten  Sie mir genau sagen um welches Video es sich handlet. d.h. die Länge in Minuten und Sekunden;;;;;;
;;Video 10.11 16:58 (1:39);E-Mail ändern korrigiert;;13.11., 15.24 Uhr, Foto3 13.11. Wollte gerade die Mail Adresse bei der Firma 6 Test ändern, erscheint aber eine Error Feld. Im Formular wird die Mail Adresse nicht übernommen, ist aber ein Pflichtfeld. ;;;;;;
;;Video 10.11 17:20 (1:04);Gekaufte Anfragen Plattform ergänzt, Name Angebot ergänzt, Anzahl Datensätze filtern, Suchefeld;;;;;;;;
;;Video 10.11 17:22 (0:17);Passwort ändern ist bereits integriert;;Das funktioniert jetzt, habe es getestet;;;;;;
;;Video Fall Nummer 1;Bei Firmendetailsansicht im Admin ergänzen alle Infos zum User dargestellt als Tabs, Notizen System eingebaut;;13.11. 15.25, Habe jetzt geprüft, bei mir als Admin support@galaxisgroup.ch sehe ich keine Änderungen als Admin. Könnten Sie mir eine Video senden, damit ich sehe, ob wir vom gleichen reden. ;13.11., 15.35 Uhr, OK, am besten erst melden, wenn es erledigt ist, d.h. wenn Sie auf grün markiert haben, oder vermerken bin gerade dran etc. ;;;;;
;;Fall Nummer 2;Filterung Angebote statt Suchfeld neu Branchen Ein/Mehfrach auswahl, menü Firma angepasst neue Reihenfolge andere Bennenung, FinanzenSeite angepasst, übersichtlichere Struktur, Sofortkauf mit Erklärung und Checkbox, hinterelgte Zahlungsart ändern können ohne Guthbaben Aufladepflicht.;;;;;;;;
;;Fall Nummer 2 Ergänzung;Agenda kompakter darstellen, damit es Platz auf kleinen Bildschirmen hat,  Bemerkungen mit Bezeichnung ergänzen;;Könnten Sie Bite Ihre Erläuterung / Anwort in der Kolonne 3 oder 4 machen, hinter dem Betreff, so ist es übersichtlicher. In der 1. Kolonne und 2. Kolonne würde ich dann immer das Anliegen beschreiben. ;;;;;;
;;Änderung der Mail Adresse;13.11., 15.22 Uhr, Video 3, Die Änderung der Mail Adresse funktioniert nicht und die Mail Adresse wird nicht in das Formular integriert;;;;;;;;
;;Fall Nummer 3;E-Mail kommt nicht autoamtisch ins Formularfeld bei Firma (ist jetzt umbenannt, damit die Firma die Möglichkeit hat nach aussen öffentlichkeit eine andere Mailadresse anzugeben);;;;;;;;
;;Anpassung noch bei Finanzseite;13.11., 16.56, Video 4, Anpassungen zu der Finanzseite und Integrierung von Monatsrechnungen ;;;;;;;;
;;Weiterempfehlung / Gutschrift;13.11., 17.01, Video 5, Ein Link zur Weiterempfehlung machen, wo man Fr. 50.- als Gutschrift erhält, zzgl. einen Link einbauen, wo ich einzeln / individuell  eine Gutschrift einer Firma geben kann.Das in der Verwaltungsseite / Admin integrieren, z.B. unter Finanzen ein Unterlink. ;;;;;;;;
;;Falls Sie Hilfe benötigen bei der Ausarbeitung der Formulare / Design, können Sie auch den Hr. Forster einbeziehen. ;;;;;;;;;
;;Neue Karte hinerlegen / Karte ändern;13.11, 17.19 Uhr, Video 6, Bei der Finanzseite wie schon angesprochen das Formular anpassen wie im Beispiel falls möglich, wo man die Daten der Karte sehen oder auch ändern kann, oder eine 2. Karte als Option hinterlegen kann etc.;;;;;;;;
;;Papierkorb erstellen ;13.11., 17.37, Würde gerne, dass man einen Papierkorb erstellt, wo man alle Seiten / Daten ansehen kann die gelöscht wurden, von allen Admin Benutzern und wo ich nur definitiv als Admin (Hauptadmin) löschen kann. Das in der Verwaltungsseite integreiren Z.B. Papaierkorb. Es können alle Einsicht haben, was gelöscht wurde, aber nur ich kann es dann auch definitiv löschen.  ;;;;;;;;
